id.deidentified,age,gender,race,race_TEXT,class,wc1,wc1use,wc1aware,wc1open,wc2,wc2use,wc2aware,wc2open,wc3,wc3use,wc3aware,wc3open,wc4,wc4use,wc4aware,wc4open,fd1,fd1use,fd1aware,fd1open,fd2,fd2use,fd2aware,fd2open,fd3,fd3use,fd3aware,fd3open,fd4,fd4use,fd4aware,fd4open,sesdiverse_4,sesdiverse_5,sescommi1,sescommi2,psc1r,psc2r,psc3,psc4r,psc5r,psc6,background,belong1,beluncert1,beluncert3,cgpa,income,ladder.r
72,19,2,3,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,1,Overwhelming,1,3,3,That having the name on your resume/degree will give you an advantage,1,4,3,That it's possible for me to go there,1,2,2,Knows students struggle financially sometimes,20,80,3,4,3,1,3,4,4,3,1,6,5,1,3.57,6,4
73,18,2,2,,1,1,3,3,It's diverse intellectually and is all-inclusive; there is something for people of all interests to study.,1,3,3,It's intense and likely competitive.,1,4,2,There are a lot of wealthy people who go to Northwestern...,1,2,2,"There are a lot of wealthy people who go to or have gone to Northwestern, but at least they give back after they graduate and make it possible for other less fortunate students to have the same opportunities they did.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,5,5,7,6,5,6,2,4,5,5,7,7,3.775,5,7
74,21,2,2,,4,1,2,2,It says that there are a variety of paths for NU students but this information is not super useful if one knows nothing about the size of NU and the situation at other universities. ,1,3,3,It's prestige school and a challenging and rewarding place.,1,2,2,Students come from relatively wealthy families who can afford the tuition without financial aid. ,1,3,1,Parents and alumni are very connected to the university.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,5,95,3,4,4,6,3,5,4,3,2,5,5,3,3.91,7,3
75,21,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,It provides for many options.,1,3,2,Makes it sound prestigious.,1,3,3,NU is generous.,1,4,3,NU helps students pay for school.,35,65,6,5,5,7,2,7,7,3,6,6,6,5,3.507,4,6
76,22,1,4,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,It is a typical college environment ,1,4,3,It is very competitive ,1,3,3,The environment seems inclusive ,1,3,3,Northwestern seems like a place that is progressive in helping work-study eligible students. ,15,85,5,3,6,7,1,6,7,2,3,5,7,2,3.2,2,3
77,18,2,7,,1,1,1,1,Many opportunities,1,3,2,Widely esteemed and recognized ,1,1,1,It's full of very wealthy and privileged people. As a person of lower income background I feel like a minority now. ,1,1,2,Good at taking people's money.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,1,1,7,7,1,6,6,2,7,4,6,6,3.33,1,7
78,19,2,7,,2,1,3,2,diverse options,1,3,3,establishes NU as a prestigious university,1,1,3,"Placing emphasis on those who can afford $60k tuition may turn off those who cannot, thus continuing to destroy the meritocratic ideals for which Northwestern should stand.",1,2,3,"Frankly, it confirms Northwestern's status as a school of wealth and privilege.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,2,3,3,3,5,6,2,6,2,6,3,2,3.75,7,3
79,20,2,2,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,1, ,1,4,2,,1,4,3,,1,4,3,,40,60,6,6,4,7,3,7,5,3,4,6,3,3,3.6,5,5
80,22,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,It's a large school,1,3,3,Competitive and a good program,1,4,2,Generous,1,3,2,Generous,30,70,3,5,4,3,3,6,4,5,3,5,5,5,3.9,4,5
81,18,1,7,,1,1,3,2,It is filled with an educated and diverse student body,1,4,3,It is a fantastic environment for learning.,1,3,3,"It has a lot of rich kids, willing to pay a lot for education.",1,2,2,Parents and Alumni really appreciate the school and go on to want to pay back. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,3,3,3,5,6,4,5,6,2,6,2,3,3.825,9,4
82,21,2,7,,4,1,1,2,Seems abundant and stressful,1,3,3,High achieving ,1,1,3,"That does not seem like an ""acceptable fee"" and it makes me think Northwestern is all wealthy people. ",1,2,1,"Makes it seem like parents are already wealthy and donating, not alums who become successful after an education. ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,25,75,3,5,2,2,6,2,2,6,2,3,6,4,3.7,8,2
83,21,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,It's a busy and diverse campus. ,1,2,3,"It's competitive, challenging. ",1,2,2,"Somewhat diverse, although a greater proportion of students at other schools seem to receive financial aid. ",1,1,2,"Somewhat diverse, although a greater proportion of students at other schools seem to receive financial aid and particpate in the work study program at other schools. ",20,80,5,6,5,5,2,5,5,2,4,4,5,4,3.77,9,2
84,22,2,7,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,1,It is very large,1,4,2,It makes me think that it is strong educationally.,1,4,2,They support the students,1,4,2,Students work hard here,20,80,2,4,3,5,3,7,3,5,2,6,6,2,3.68,3,5
85,19,1,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,1,"This statement makes me imagine that Northwestern is a very large institution with a large, diverse student body.",1,2,3,It makes me imagine that the Northwestern environment is very competitive and its students are hardworking.,1,3,2,It makes me imagine that not all the students at Northwestern are from the higher classes.,1,2,1,It makes me think that Northwestern cares about its students by offering opportunities to earn pay on campus.,40,60,5,5,5,4,5,5,3,5,2,6,4,3,3.5,5,4
86,20,2,7,,3,1,2,2,Lakefill,1,2,2,Happy,1,2,2,Competitive,1,3,2,Rich,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,3,4,4,3,4,5,4,3,4,6,4,5,3.2,5,3
87,18,2,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,3,It is very neutral,1,4,1,Academic are very central to Northwestern's appeal ,1,4,2,Northwestern tries to create an atmosphere of diversity,1,4,3,Northwestern tries to be accessible for students of different backgrounds,20,80,7,7,4,6,2,7,7,4,2,6,3,3,3.925,1,6
88,21,2,8,"half African, half American",4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Northwestern has a very diverse community.,1,3,3,Northwestern is a very prestigious place to be.,1,3,3,NU is extremely good at helping its students be able to attend.,1,3,3,NU wants its students to be able to afford going to school here.,20,80,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8,3
89,19,2,2,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,"""4,000 classes"" doesn't mean much. I'd assume a school with my major would have all the classes I want.",1,3,3,Well-established school.,1,4,2,"60% is not a great statistic, especially for financial aid. And it says nothing about how much or little those students receive.",1,2,2,"$2.8 mil looks like a big number, but I'd be more interested to know how many students qualify for work study.",30,70,1,2,5,6,2,6,6,4,3,3,7,4,3.2,4,4
90,20,2,2,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,There are many different opportunities.,1,3,3,Northwestern is a well-acclaimed university.,1,3,3,Northwestern attempts to make its education affordable to all people.,1,3,2,Northwestern tries to make accomodations for students' financial situations.,30,70,5,6,5,4,4,5,3,4,4,4,6,5,4.72,4,4
91,18,1,2,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,It strives to be comprehensive in all opportunities that it offers to students,1,2,3,Northwestern is a high-achieving environment that stands out among other higher education institutions in the United States,1,4,1,Northwestern strives to give opportunity to students who are not so economically well-off,1,4,1,Northwestern incentivizes work for students to compensate for high tuition costs and further ability for students to be autonomous consumers,33,67,7,7,4,4,4,3,4,4,1,7,1,2,,6,3
92,18,1,2,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,2,Northwestern has a broad curriculum and wide variety of offerings for students of all backgrounds to pursue,1,2,3,Northwestern is a high-caliber institution that stands out among its peer institutions,1,4,1,"Northwestern strives to provide students maximum opportunity to attend the institution, regardless of socioeconomic status",1,3,2,Northwestern incentivizes students to become both actively engaged with communities and autonomous consumers through its sponsorship of work-study programs,33,67,7,7,2,4,4,4,4,4,2,7,3,3,3.2,6,4
93,19,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Lots of choices,1,4,3,Students must be high achieving to keep up with that.,1,3,2,"Potentially not as ""stuck up""",1,2,1,Lots of money but how does that divide up with students and not useful if you don't know what work-study is,20,80,2,6,2,2,6,2,2,6,2,5,6,4,3.75,9,1
94,19,2,8,"Italian, Chinese",2,1,2,2,There are many opportunities to try different things at Northwestern.,1,3,3,It makes me think that Northwestern is academically competitive and desirable to attend for post-secondary school.,1,2,2,Northwestern students are very wealthy if they can afford the tuition. Northwestern is too expensive.,1,2,2,"Alumni feel a strong sense of pride for Northwestern, and continue to help the community. Northwestern must have many resources to improve life for students (one can only hope that they use it wisely). ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,32,68,2,1,6,4,5,5,4,5,2,7,5,4,3.5,5,4
95,19,2,2,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Similar to other private institutions. Generic.,1,2,3,Pompous but deserving of credit,1,4,3,Socioeconomic class does not seem to be an issue,1,3,1,Northwestern has work study options available to students.,25,75,4,5,3,5,5,5,5,4,3,5,4,4,3.61,6,6
96,19,2,2,,2,1,2,2,It makes it seem like an environment that caters all different types of interests. Also makes Northwestern seem like a well-rounded school. ,1,2,3,"It makes Northwestern sound like a top tier school, but because it is very vague about how ""highly ranked"" it is, it doesn't make NU sound like the best school. ",1,3,1,Very generous ,1,4,1,"Lots of endowments, financial scholarships ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,40,60,5,5,5,5,6,4,4,5,4,6,6,6,3.67,7,4
97,18,2,2,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,2,Diverse,1,3,3,Prestigious,1,2,2,accomadating,1,1,2,most colleges do the same,33,67,4,3,4,3,3,4,3,3,5,3,6,6,3.4,6,4
98,19,2,8,indian,2,1,1,2,,1,2,3,,1,3,2,,1,3,1,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,60,40,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7,4
99,19,2,7,,1,1,3,2,it seems pretty normal to me.,1,4,3,It makes me feel proud to be a part of the community,1,3,3,That's really expensive.,1,3,2,It's very impressive that our endowment is that large.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,25,75,4,4,1,1,4,1,4,5,2,6,7,3,3.75,8,4
100,18,2,7,,1,1,2,2,Northwestern sounds much busier and much bigger in this context.,1,3,3,It increases my perception of its prestige.,1,4,1,"Wow, there are a lot of rich families attending Northwestern. $58,429 is not really an acceptable fee at all-- it's the cost of most private schools, but that's still an incredible amount of money for more than 50% of the student population to afford. I feel that NU is far less socioeconomically diverse than I believed it to be.",1,3,1,"Northwestern students are from some really wealthy families. It's great that there's such a family support system and I'm glad of the opportunities this provides, but again it raises the issue of socioeconomic diversity.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,5,6,4,3,5,4,3,3,4,5,6,3,4,5,5
101,22,1,7,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,2,,1,3,3,,1,3,3,,1,2,2,,20,80,5,5,5,7,3,6,4,1,7,1,5,7,3.5,4,4
102,18,2,2,,1,1,3,2,"Flexible, accommodating, medium-to-large sized, quite typical",1,4,2,"High quality, immediate sense of supremacy and puts NU in a higher bracket, makes it feel more prestigious",1,2,3,"Does not make it look too much more appealing, still appears rather expensive, overall effect paints it in a negative light",1,4,1,"Very attractive! Makes me believe that my life at NU will be easier, that people have faith in NU, and that it is therefore an institution of high quality and regard",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,2,6,1,7,5,5,2,6,6,6,5,3,3.85,8,4
103,20,2,4,,2,1,3,2,That it is a diverse environment that has the ability to welcome people that have diverse interests.,1,4,3,Northwestern is a prestigious academic institution and attending Northwestern and obtaining a degree from here would show that the person has solid academic understanding in their field of study.,1,1,2,"If my family were unable to afford that amount, I would get discouraged from applying to Northwestern because I would need financial aid.",1,2,1,"I would want to know exactly what an endowment fund is used for, that is unclear in this statement. ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,60,40,5,3,2,4,1,6,6,3,4,5,7,7,2.55,4,6
104,21,2,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,Lots of options,1,3,3,High quality in many areas ,1,4,3,broader access to Northeastern programs,1,4,3,dedicated to success and work experience of students ,30,70,5,3,5,4,5,7,5,4,2,6,2,2,3.59,3,5
105,19,1,8,"Asian, Caucasian",2,1,3,1,It is a diverse environment in which anyone can pursue their interests.,1,4,3,It is a rigorous environment to maintain its elite standing.,1,3,2,Northwestern is not an unattainable goal for students.,1,2,2,There are very many resources available to Northwestern students.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,60,40,6,6,2,3,5,3,2,6,1,7,2,2,3.67,7,5
106,19,1,7,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,Very diverse and a lot of options,1,4,3,Very good oppurtunity to get a good education,1,3,2,Northwestern helps everyone who wants to go attend,1,3,2,Lots of opportuinities for students to make money,20,80,4,6,5,3,5,5,3,5,3,4,6,5,3.2,9,9
107,20,2,2,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,1,It has a lot of opportunities,1,3,2,Northwestern is prestigious,1,3,2,Northwestern is not discriminatory,1,3,2,Northwestern wants students to succeed,10,90,5,5,4,6,2,5,5,3,3,5,5,5,3.9,1,9
108,20,2,2,,3,1,2,2,It makes me think that students are taking a wide array of classes and majors even though the statement doesn't explicitly state this. It promotes a sense of diversity and academic thirst among the students. ,1,2,3,That they are struggling to justify their identity below the ranks of ivy league schools. ,1,1,3,The reason families manage this price is because they accept over half the class in Early Decision to ensure that those families can pay the tuition. ,1,2,2,Makes me think that they care more about the money that students bring than the needs of students. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,3,7,2,2,4,3,2,5,4,3,5,4,3.23,9,4
109,21,1,7,,3,1,1,3,It's not really anything different than a state school.,1,3,3,Academically rigorous.,1,2,2,Full of rich kids. Fun stuff.,1,2,2,Money to burn on not renovating dorms or getting better food for dining halls.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,5,95,2,3,5,7,1,7,7,1,6,2,3,3,3.13,2,9
110,18,1,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,3,It is an environment where anyone with any interests can strive. ,1,4,3,Northwestern University has prestige that its graduates benefit from. The environment is one that is intense and rigorous. ,1,4,3,Northwestern provides an environment where 40% of kids pay full tuition and creates for an elite student environment. ,1,3,2,The Northwestern environment is one where students can work and make money while still balancing studies adequately. ,13,87,3,2,2,2,6,3,3,7,3,6,5,2,3.55,7,4
111,19,2,7,,2,1,3,2,it makes me think that we have a diverse array of interests being represented,1,3,3,highly regarded,1,2,2,its very expensive,1,3,2,people support Northwestern's mission,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,40,60,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9,2
112,20,1,2,,2,1,3,1,Diverse and numerous options,1,1,3,It just weakly affirms that Northwestern is a highly academic and elite school.,1,1,1,"It seems forced, false, and makes the environment feel snobby and filled with rich people.",1,2,1,"The alumni are very involved, and Northwestern is an affluent institution",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,5,5,4,3,1,3,3,3,3,6,5,5,3.67,3,5
113,21,1,7,,3,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,3,Opportunities abound,1,2,3,Prominent ,1,3,3,Supportive,1,2,2,Encouraging,40,60,3,2,1,2,5,3,1,4,3,5,6,6,3.41,4,4
114,19,2,2,,2,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,"The number of majors seems much smaller than I thought it would be, but the number of classes makes it sound like one can specialize in this field.",1,3,3,It makes me think that it offers a well-rounded education.,1,3,2,"It makes me think that there are people here who span socio-economic classes, however it is skewed towards the wealthier side of society.",1,3,2,"As someone who wants to be a work study student, it makes me think that Northwestern is a hard-working environment and that the students are able to balance their work-study requirements well.",20,80,3,2,3,3,6,4,2,6,2,6,5,5,3.4,5,4
115,21,2,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,3,"Diverse, many opportunities ",1,3,3,Gives Northwestern status ,1,3,3,Inclusive,1,3,3,Accommodating ,40,60,5,2,3,4,5,4,2,6,2,6,4,4,3.67,2,3
116,25,1,2,,3,1,3,1,Very opportunistic,1,3,2,Great,1,2,1,Expensive to be a part of if you are international students or those who cannot get financial aid,1,1,1,It is supported by rich people.,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,4,5,4,5,2,3,3,3,2,5,5,5,2.3,2,8
117,20,2,2,,2,1,2,2,,1,2,3,,1,2,2,,1,1,2,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,5,5,5,3,5,5,2,5,5,6,4,2,3,3,8
118,21,2,7,,3,1,3,1,It is diverse and filled with many types of people with varying interests. ,1,3,3,"It is a competitive school filled with brights students. Also, that the school has many resources for students to be successful. ",1,2,1,Northwestern does not discriminate against those who cannot afford tuition. ,1,2,1,Northwestern is able to give many students opportunities to learn who could otherwise not afford it. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,30,70,5,4,1,1,6,2,2,6,2,6,3,3,3.6,4,4
119,18,2,2,,1,1,4,2,There's diversity in choice and thought-- I can study a variety of things and the people around me will have backgrounds in a number of different things. ,1,3,3,"It's definitely elicits a positive response, but due to the ambiguity of this statement, it's not especially memorable or striking. ",1,4,2,"I already knew this, but getting an education at Northwestern is expensive! I was not aware that over half of Northwestern families pay the full price for an academic year. This information leads me to believe that a lot of my peers have a considerable amount of money. It makes me think that the Northwestern community is privileged. ",1,3,1,"This speaks both to the type of people attending Northwestern and the quality of Northwestern's facilities, education, etc. If there is this much money being poured into the university, then an education must be of a very high quality. It surprises me that this much money is being donated per year by parents of students/alumni. If I were not already a student here, it might worry me as to whether I would fit in at a place with people who come from such wealthy backgrounds. ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,10,90,4,5,4,2,6,4,2,6,1,7,3,2,3.68,5,4
120,18,2,2,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,2,It makes me think of Northwestern as very rich and diverse.,1,4,3,This makes me think of the Northwestern environment as top-notch and where I want to be.,1,2,2,It makes me think of the Northwestern environment as one that is compassionate.,1,2,1,Northwestern provides students with many options/opportunities.,30,70,5,2,2,3,6,2,2,6,2,6,5,2,2.4,5,4
121,18,1,2,,1,1,2,2,There is a diverse student body who seek to receive a different type of education and follow distinct career paths. ,1,2,3,Northwestern provides a top-tier education and is therefore extremely prestigious. ,1,1,2,Northwestern charges its students an extremely high tuition and therefore many of the students at Northwestern are likely from upper or upper middle class socioeconomic backgrounds. ,1,2,1,"Northwestern alumni are proud of their school, therefore their school fosters an environment of school spirit and pride. ",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,25,75,3,5,1,1,6,2,2,6,1,7,5,3,3.57,9,2
122,22,2,7,,4,1,1,1,"Too hectic. Also the number of majors is not in context of other universitys, so yes, it sounds like a high number, but maybe it's not ",1,1,3,"Northwestern likes to boast to much about irrelevant rankings. How will being a top-ranked school actually mold a student's experience into a positive one? I know that my best memories do not stem from what these ""world-renowned lecturers"" recited to me, but rather what I discovered & learned on my own.",1,3,3,"Well, it for sure marginalizes the people who can't afford the tuition. Furthermore, yes parents who do not qualify for financial aid can afford it, but it can still be a financial burden to those with a certain income bracket that disqualifies them from aid. ",1,1,2,I guess it shows how wealthy the parents of students are ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,15,85,2,5,2,2,5,4,2,6,2,3,5,4,3.3,6,4
123,20,2,3,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,2,1,Diverse ,1,4,3,Quality,1,3,2,Encouraging diverse Socio-economic background,1,3,1,,60,40,5,2,2,2,2,5,4,4,2,5,5,5,3.59,5,7
124,18,2,7,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,3,3,There are many different opportunities at Northwestern.,1,3,3,Northwestern is a rigorous University with heavy emphasis on academics.,1,3,2,Northwestern students have opportunities to do what they love even if they weren't afforded the opportunities to in prior environments.,1,3,2,Northwestern supports its students.,30,70,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,5,5
125,18,2,2,,1,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,2,Diverse majors and wide selection,1,2,3,As expected,1,4,1,Generous with aid,1,4,1,A lot of students can and will do work-study,25,75,7,7,2,2,6,2,2,5,2,6,3,4,3.4,4,1
126,18,2,7,,1,1,2,2,That there are students with a diverse range of interests and a lot of options if I don't like my current major. ,1,3,2,Some of the best education so most likely highly stressful but for a prestige label students have after it all. ,1,3,1,"This is ridiculous. I don't know if this is true but it is trying to imply that almost $60,000 is acceptable while it is still amongst the highest of colleges nationwide. This makes me think Northwestern is full of rich kids who think $60,000 is no big deal. ",1,1,1,I have no idea what this is trying to tell me about Northwestern. What is money being used for? I don't really care that we have rich donors. ,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,20,80,5,4,5,5,2,6,3,5,3,5,6,5,3.6,5,3
127,22,1,2,,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,1,2,Indifferent,1,3,2,Indifferent,1,3,2,Indifferent,1,2,2,Indifferent,10,90,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,6
128,18,2,2,,1,1,2,1,Students are diverse and are able to make choices about what they study. ,1,4,3,Northwestern has high achieving students and a competitive environment.,1,4,3,Northwestern has a lot of rich people.,1,1,2,"Northwestern has a lot of money, and parents and alumni think Northwestern is important.",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,25,75,3,5,5,3,6,5,2,6,3,6,2,2,3.71,5,5
129,19,2,2,,2,1,3,2,There are lots of course choices for students,1,2,3,It is a very prestigious school,1,3,2,There are a lot of wealthy families here if so many of them don't need financial aid,1,1,1,"Again, a lot of students come from very wealthy families",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,5,95,2,1,6,7,1,7,6,2,5,3,4,4,3.6-3.7,1,7
130,22,2,8,black/white,4,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,1,4,2,Its very diverse,1,3,2,Its an amazing school,1,4,3,They make college affordable,1,3,1,It helps kick-start the futures of its students,60,40,7,7,5,6,3,5,5,4,6,7,2,6,3.4,2,5
131,21,2,7,,3,1,2,1,"Very academic, a lot of variety",1,3,3,"Quality education, competitive, smart",1,4,2,"Rich students, hard to afford for less wealthy people",1,4,2,"Northwestern families want to help their school, can do so because they are very wealthy",NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,10,90,6,6,6,7,1,7,7,2,6,4,5,4,3.52,1,7
